Lineage;2023-W26;2023-W27;2023-W28;2023-W29;2023-W30;2023-W31;2023-W32;2023-W33;2023-W34;2023-W35;2023-W36;2023-W37;2023-W38;2023-W39;2023-W40;2023-W41;2023-W42;2023-W43;2023-W44
EG.5.2.3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
EG.6.1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;0
EG.10.1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;3;4;1;0
XBB.1.16;0;1;2;0;1;0;1;1;2;5;4;6;5;8;5;4;0;0;0
XBB.1.16.1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
FU.1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;0;2;0;0
FU.2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0
XBB.1.16.2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
GY.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
XBB.1.16.3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
XBB.1.16.6;0;0;0;0;0;0;2;2;0;0;2;0;3;4;3;4;3;4;0
XBB.1.16.9;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
XBB.1.16.11;0;0;0;0;0;0;0;0;1;0;0;1;4;1;6;5;1;1;2
HF.1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;4;2;0;0
XBB.1.16.15;0;0;0;0;0;0;0;0;1;0;0;1;1;1;4;9;3;0;0
XBB.1.16.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
FY.1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
FY.1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0
FY.2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
FY.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;0
XBB.1.34;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
XBB.1.41.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
XBB.1.42.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
XBB.2.3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;4;1
XBB.2.3.2;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;0;0
XBB.2.3.3;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
GJ.1.2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0
GJ.4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
GE.1;0;0;0;0;0;0;1;0;3;1;1;4;4;3;0;0;0;2;0
XBB.2.3.11;0;0;0;0;2;0;0;0;0;0;0;2;1;3;3;10;4;5;1
GS.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
XBB.2.3.12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
nicht auswertbar;0;0;3;12;3;2;3;1;4;7;16;14;17;22;24;12;10;20;3
